"Timestamp UTC";"Timestamp";"Value";"Source";"Measurement";"Unit"
2024-11-22 03.00.00;2024-11-22 10.00.00;152671,515625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-22 03.00.00;2024-11-22 10.00.00;152284,234375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-22 03.00.00;2024-11-22 10.00.00;152492,171875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-22 03.15.00;2024-11-22 10.15.00;152527,734375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-22 03.15.00;2024-11-22 10.15.00;152268,53125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-22 03.15.00;2024-11-22 10.15.00;152407,1875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-22 03.30.00;2024-11-22 10.30.00;152447,71875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-22 03.30.00;2024-11-22 10.30.00;152015,921875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-22 03.30.00;2024-11-22 10.30.00;152272,03125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-22 03.45.00;2024-11-22 10.45.00;152351,171875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-22 03.45.00;2024-11-22 10.45.00;152064,609375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-22 03.45.00;2024-11-22 10.45.00;152210,0625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-22 04.00.00;2024-11-22 11.00.00;152591,671875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-22 04.00.00;2024-11-22 11.00.00;152105,25;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-22 04.00.00;2024-11-22 11.00.00;152304,859375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-22 04.15.00;2024-11-22 11.15.00;152678,671875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-22 04.15.00;2024-11-22 11.15.00;152019,703125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-22 04.15.00;2024-11-22 11.15.00;152378,65625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-22 04.30.00;2024-11-22 11.30.00;152970,421875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-22 04.30.00;2024-11-22 11.30.00;152087,375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-22 04.30.00;2024-11-22 11.30.00;152407,796875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-22 04.45.00;2024-11-22 11.45.00;153278,0625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-22 04.45.00;2024-11-22 11.45.00;152544,671875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-22 04.45.00;2024-11-22 11.45.00;152824,734375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-22 05.00.00;2024-11-22 12.00.00;152831,453125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-22 05.00.00;2024-11-22 12.00.00;152084,640625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-22 05.00.00;2024-11-22 12.00.00;152520,15625;"APF.P1";"Voltage L-L Avg Mean";"V"
