Timestamp UTC;Timestamp;Value;Source;Measurement;Unit
2024-11-21 11.15.00;2024-11-21 18.15.00;154021,2969;APF.P1;Voltage L-L Avg Low;V
2024-11-21 11.15.00;2024-11-21 18.15.00;154207,4531;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 11.30.00;2024-11-21 18.30.00;154300,8906;APF.P1;Voltage L-L Avg High;V
2024-11-21 11.30.00;2024-11-21 18.30.00;154026,1406;APF.P1;Voltage L-L Avg Low;V
2024-11-21 11.30.00;2024-11-21 18.30.00;154157,2656;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 11.45.00;2024-11-21 18.45.00;154296,2813;APF.P1;Voltage L-L Avg High;V
2024-11-21 11.45.00;2024-11-21 18.45.00;153759,3438;APF.P1;Voltage L-L Avg Low;V
2024-11-21 11.45.00;2024-11-21 18.45.00;153930,9844;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 12.00.00;2024-11-21 19.00.00;153968,1094;APF.P1;Voltage L-L Avg High;V
2024-11-21 12.00.00;2024-11-21 19.00.00;153057,2969;APF.P1;Voltage L-L Avg Low;V
2024-11-21 12.00.00;2024-11-21 19.00.00;153492,25;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 12.15.00;2024-11-21 19.15.00;153209,7656;APF.P1;Voltage L-L Avg High;V
2024-11-21 12.15.00;2024-11-21 19.15.00;152858,75;APF.P1;Voltage L-L Avg Low;V
2024-11-21 12.15.00;2024-11-21 19.15.00;153017,1875;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 12.30.00;2024-11-21 19.30.00;153084,8281;APF.P1;Voltage L-L Avg High;V
2024-11-21 12.30.00;2024-11-21 19.30.00;151989,1719;APF.P1;Voltage L-L Avg Low;V
2024-11-21 12.30.00;2024-11-21 19.30.00;152922,1406;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 12.45.00;2024-11-21 19.45.00;153188,2969;APF.P1;Voltage L-L Avg High;V
2024-11-21 12.45.00;2024-11-21 19.45.00;152710,4063;APF.P1;Voltage L-L Avg Low;V
2024-11-21 12.45.00;2024-11-21 19.45.00;152946,7031;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 13.00.00;2024-11-21 20.00.00;152974,7813;APF.P1;Voltage L-L Avg High;V
2024-11-21 13.00.00;2024-11-21 20.00.00;152577,0781;APF.P1;Voltage L-L Avg Low;V
